id	class	pos	qual	aScore	numN	readLen	junction	strand	posR2	qualR2	aScoreR2	numNR2	readLenR2	junctionR2	strandR2
NS500749:265:HVGWKBGX2:1:12105:15782:19419	linearArtifact	94	42	0	0	76	chr1|MARK1:220804476|MARK1:220805542|reg|+	16	220804375	40	-5	0	76	chr1	0
NS500749:265:HVGWKBGX2:3:21407:19457:8383	unmapped	116	42	0	0	76	chr1|MARK1:220804476|MARK1:220805542|reg|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:3:13612:11101:13948	linearStrong	121	42	0	0	75	chr1|MARK1:220789337|MARK1:220791651|reg|+	16	120	42	0	0	76	chr1|MARK1:220777479|MARK1:220789280|reg|+	0
NS500749:265:HVGWKBGX2:2:22209:6052:16025	linearStrong	135	42	0	0	75	chr1|MARK1:220789337|MARK1:220791651|reg|+	16	125	42	0	0	75	chr1|MARK1:220777479|MARK1:220789280|reg|+	0
NS500749:265:HVGWKBGX2:3:22612:23086:4640	linearStrong	109	42	-3	0	76	chr1|MARK1:220826694|MARK1:220831131|reg|+	16	220826548	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:3:12601:10406:18964	linearStrong	108	40	-5	0	76	chr1|MARK1:220826694|MARK1:220831131|reg|+	16	220826597	42	0	0	75	chr1	0
NS500749:265:HVGWKBGX2:2:22309:19880:1382	linearStrong	128	23	0	8	76	chr1|MARK1:220826694|MARK1:220831131|reg|+	16	220826573	42	0	0	75	chr1	0
NS500749:265:HVGWKBGX2:2:13202:2660:13069	linearStrong	131	3	0	11	76	chr1|MARK1:220826694|MARK1:220831131|reg|+	16	220826612	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:1:13107:14497:16419	linearStrong	123	42	0	3	76	chr1|MARK1:220826694|MARK1:220831131|reg|+	16	220826591	42	-3	0	75	chr1	0
NS500749:265:HVGWKBGX2:1:12309:19233:1883	linearStrong	123	42	0	3	76	chr1|MARK1:220826694|MARK1:220831131|reg|+	16	220826591	42	0	0	75	chr1	0
NS500749:265:HVGWKBGX2:1:12302:20345:12846	linearStrong	109	42	0	0	76	chr1|MARK1:220826694|MARK1:220831131|reg|+	16	220826548	42	-3	0	76	chr1	0
NS500749:265:HVGWKBGX2:1:12201:5311:2430	linearStrong	123	42	0	3	76	chr1|MARK1:220826694|MARK1:220831131|reg|+	16	220826591	42	0	0	75	chr1	0
NS500749:265:HVGWKBGX2:3:21608:16296:10702	circStrong	111	42	0	0	74	chr1|MARK1:220809368|MARK1:220771672|rev|+	16	220809244	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:1:13107:9306:19835	circStrong	111	42	0	0	74	chr1|MARK1:220809368|MARK1:220771672|rev|+	16	220809244	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:4:22406:16824:14035	linearStrong	115	42	0	0	76	chr1|MARK1:220702215|MARK1:220752695|reg|+	16	220702140	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:3:22407:7673:3891	linearStrong	104	42	0	0	75	chr1|MARK1:220702215|MARK1:220752695|reg|+	16	220702140	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:2:23111:10292:19213	linearStrong	136	40	-5	0	76	chr1|MARK1:220702215|MARK1:220752695|reg|+	16	125	42	0	0	76	chr1|MARK1:220702215|MARK1:220752695|reg|+	0
NS500749:265:HVGWKBGX2:1:13201:6507:8024	linearStrong	106	42	0	0	76	chr1|MARK1:220702215|MARK1:220752695|reg|+	16	220702111	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:4:23408:5717:18941	unmapped	129	42	0	0	76	chr1|MARK1:220809368|MARK1:220752695|rev|+	16	NA	NA	NA	NA	NA	NA	NA
NS500749:265:HVGWKBGX2:2:23110:18225:14830	linearArtifact	95	0	-13	0	76	chr1|MARK1:220825492|MARK1:220826442|reg|+	16	220825379	42	0	0	76	chr1	0
NS500749:265:HVGWKBGX2:1:23202:8014:14104	linearArtifact	95	42	0	0	76	chr1|MARK1:220825492|MARK1:220826442|reg|+	16	220825379	42	0	0	76	chr1	0
